,date,price
434,10/05/2021 16:58:24,58125.06
435,10/05/2021 16:58:25,58125.06
436,10/05/2021 16:58:27,58125.06
437,10/05/2021 16:58:28,58125.06
438,10/05/2021 16:58:29,58125.06
439,10/05/2021 16:58:30,58124.12
440,10/05/2021 16:58:08,58127.45
441,10/05/2021 16:58:09,58127.45
442,10/05/2021 16:58:10,58127.45
443,10/05/2021 16:58:11,58127.45
444,10/05/2021 16:58:12,58127.45
445,10/05/2021 16:58:13,58127.45
446,10/05/2021 16:58:14,58127.45
447,10/05/2021 16:58:15,58127.52
448,10/05/2021 16:58:16,58127.52
449,10/05/2021 16:58:17,58127.52
450,10/05/2021 16:58:18,58127.52
451,10/05/2021 16:57:56,58126.77
452,10/05/2021 16:57:57,58126.77
453,10/05/2021 16:57:58,58126.77
454,10/05/2021 16:57:59,58126.77
455,10/05/2021 16:58:00,58127.56
456,10/05/2021 16:58:01,58127.56
457,10/05/2021 16:58:03,58127.56
458,10/05/2021 16:58:04,58127.56
459,10/05/2021 16:58:05,58127.56
460,10/05/2021 16:58:06,58127.56
461,10/05/2021 16:58:07,58127.56
462,10/05/2021 16:57:45,58126.79
463,10/05/2021 16:57:46,58127.12
464,10/05/2021 16:57:47,58127.12
465,10/05/2021 16:57:48,58127.12
466,10/05/2021 16:57:49,58127.12
467,10/05/2021 16:57:50,58127.12
468,10/05/2021 16:57:51,58127.12
469,10/05/2021 16:57:52,58127.12
470,10/05/2021 16:57:53,58126.77
471,10/05/2021 16:57:54,58126.77
472,10/05/2021 16:57:55,58126.77
473,10/05/2021 16:57:33,58129.87
474,10/05/2021 16:57:35,58129.87
475,10/05/2021 16:57:36,58129.87
476,10/05/2021 16:57:37,58129.87
477,10/05/2021 16:57:38,58126.79
478,10/05/2021 16:57:39,58126.79
479,10/05/2021 16:57:40,58126.79
480,10/05/2021 16:57:41,58126.79
481,10/05/2021 16:57:42,58126.79
482,10/05/2021 16:57:43,58126.79
483,10/05/2021 16:57:44,58126.79
484,10/05/2021 16:57:22,58129.82
485,10/05/2021 16:57:23,58129.82
486,10/05/2021 16:57:24,58129.82
487,10/05/2021 16:57:25,58129.82
488,10/05/2021 16:57:26,58129.82
489,10/05/2021 16:57:27,58129.82
490,10/05/2021 16:57:28,58129.82
491,10/05/2021 16:57:29,58129.87
492,10/05/2021 16:57:30,58129.87
493,10/05/2021 16:57:31,58129.87
494,10/05/2021 16:57:32,58129.87
495,10/05/2021 16:57:11,58138.2
496,10/05/2021 16:57:12,58138.2
497,10/05/2021 16:57:13,58138.2
498,10/05/2021 16:57:14,58138.2
499,10/05/2021 16:57:15,58131.45
500,10/05/2021 16:57:16,58131.45
501,10/05/2021 16:57:17,58131.45
502,10/05/2021 16:57:18,58131.45
503,10/05/2021 16:57:19,58131.45
504,10/05/2021 16:57:20,58131.45
505,10/05/2021 16:57:21,58131.45
506,10/05/2021 16:56:59,58142.27
507,10/05/2021 16:57:00,58142.27
508,10/05/2021 16:57:01,58142.27
509,10/05/2021 16:57:02,58142.27
510,10/05/2021 16:57:03,58142.27
511,10/05/2021 16:57:04,58142.27
512,10/05/2021 16:57:05,58142.27
513,10/05/2021 16:57:07,58142.27
514,10/05/2021 16:57:08,58138.2
515,10/05/2021 16:57:09,58138.2
516,10/05/2021 16:57:10,58138.2
517,10/05/2021 16:56:48,58148.84
518,10/05/2021 16:56:49,58148.84
519,10/05/2021 16:56:50,58148.84
520,10/05/2021 16:56:51,58148.84
521,10/05/2021 16:56:52,58148.84
522,10/05/2021 16:56:53,58148.87
523,10/05/2021 16:56:54,58148.87
524,10/05/2021 16:56:55,58148.87
525,10/05/2021 16:56:56,58148.87
526,10/05/2021 16:56:57,58148.87
527,10/05/2021 16:56:58,58148.87
528,10/05/2021 16:56:36,58144.59
529,10/05/2021 16:56:37,58144.59
530,10/05/2021 16:56:38,58148.51
531,10/05/2021 16:56:39,58148.51
532,10/05/2021 16:56:40,58148.51
533,10/05/2021 16:56:41,58148.51
534,10/05/2021 16:56:43,58148.51
535,10/05/2021 16:56:44,58148.51
536,10/05/2021 16:56:45,58148.51
537,10/05/2021 16:56:46,58148.84
538,10/05/2021 16:56:47,58148.84
539,10/05/2021 16:56:25,58146.42
540,10/05/2021 16:56:26,58146.42
541,10/05/2021 16:56:27,58146.42
542,10/05/2021 16:56:28,58146.42
543,10/05/2021 16:56:29,58146.42
544,10/05/2021 16:56:30,58146.42
545,10/05/2021 16:56:31,58144.59
546,10/05/2021 16:56:32,58144.59
547,10/05/2021 16:56:33,58144.59
548,10/05/2021 16:56:34,58144.59
549,10/05/2021 16:56:35,58144.59
550,10/05/2021 16:56:14,58153.03
551,10/05/2021 16:56:15,58153.03
552,10/05/2021 16:56:16,58145.57
553,10/05/2021 16:56:17,58145.57
554,10/05/2021 16:56:18,58145.57
555,10/05/2021 16:56:19,58145.57
556,10/05/2021 16:56:20,58145.57
557,10/05/2021 16:56:21,58145.57
558,10/05/2021 16:56:22,58145.57
559,10/05/2021 16:56:23,58146.42
560,10/05/2021 16:56:24,58146.42
561,10/05/2021 16:56:02,58156.18
562,10/05/2021 16:56:03,58156.18
563,10/05/2021 16:56:04,58156.18
564,10/05/2021 16:56:05,58156.18
565,10/05/2021 16:56:06,58156.18
566,10/05/2021 16:56:07,58153.03
567,10/05/2021 16:56:08,58153.03
568,10/05/2021 16:56:09,58153.03
569,10/05/2021 16:56:10,58153.03
570,10/05/2021 16:56:11,58153.03
571,10/05/2021 16:56:12,58153.03
572,10/05/2021 16:55:51,58155.78
573,10/05/2021 16:55:52,58155.78
574,10/05/2021 16:55:53,58155.78
575,10/05/2021 16:55:54,58156.05
576,10/05/2021 16:55:55,58156.05
577,10/05/2021 16:55:56,58156.05
578,10/05/2021 16:55:57,58156.05
579,10/05/2021 16:55:58,58156.05
580,10/05/2021 16:55:59,58156.05
581,10/05/2021 16:56:00,58156.18
582,10/05/2021 16:56:01,58156.18
583,10/05/2021 16:55:39,58161.44
584,10/05/2021 16:55:40,58153.53
585,10/05/2021 16:55:41,58153.53
586,10/05/2021 16:55:42,58153.53
587,10/05/2021 16:55:43,58153.53
588,10/05/2021 16:55:44,58153.53
589,10/05/2021 16:55:45,58153.53
590,10/05/2021 16:55:47,58153.53
591,10/05/2021 16:55:48,58155.78
592,10/05/2021 16:55:49,58155.78
593,10/05/2021 16:55:50,58155.78
594,10/05/2021 16:55:28,58164.42
595,10/05/2021 16:55:29,58164.42
596,10/05/2021 16:55:30,58164.42
597,10/05/2021 16:55:31,58164.42
598,10/05/2021 16:55:32,58164.42
599,10/05/2021 16:55:33,58161.44
600,10/05/2021 16:55:34,58161.44
601,10/05/2021 16:55:35,58161.44
602,10/05/2021 16:55:36,58161.44
603,10/05/2021 16:55:37,58161.44
604,10/05/2021 16:55:38,58161.44
605,10/05/2021 16:55:16,58184.78
606,10/05/2021 16:55:17,58184.78
607,10/05/2021 16:55:18,58184.78
608,10/05/2021 16:55:19,58184.78
609,10/05/2021 16:55:21,58184.78
610,10/05/2021 16:55:22,58184.78
611,10/05/2021 16:55:23,58184.78
612,10/05/2021 16:55:24,58184.78
613,10/05/2021 16:55:25,58164.42
614,10/05/2021 16:55:26,58164.42
615,10/05/2021 16:55:27,58164.42
616,10/05/2021 16:55:05,58195.03
617,10/05/2021 16:55:06,58195.03
618,10/05/2021 16:55:07,58195.03
